	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
164	Shriram Chirping Woods Villament	Shriram Properties	Harlur	Under Construction		Possession date: Mar'19	3600 sq ft(5BHK+5T)	5 BHK	2,650 - 3,600 sq ft	₹ 1.93 Cr - ₹ 2.62 Cr	4, 5 BHK	136	
165	BSCPL Nestor	BSCPL Infrastructure Ltd	Doddaballapur	Under Construction	BSCPL Nestor is a housing community located in Yelahanka, Bangalore. Presently under construction, it has 140 units up for sale which are available through the builder. The flats conform to the 2 and 3 BHK configuration, Home owners shall be provided with numerous amenities within the boundaries of the community such as community hall, gymnasium, indoor games, intercom services, landscaped gardens, children’s play area, club house and round the clock security. BSPCL has worked on eight projects so far, five of which are underway. Whitefield Hope Farm Junction and Kogilu are two areas where their projects are located.Yelahanka is 14 kilometres towards the north of Bangalore and has gained prominence for its proximity to the Bangalore International Airport. The NH 7 is located near to it which connects it to different parts of the city. The area is also served by the KSRTC and BMTC buses. The Yelahanka train station is 15 kilometres towards the north of the Bangalore City train station. Several good schools for instance Canadian International School, hospitals such as Prasad Hospital, and shopping complexes including New Town Shopping Complex are located in the vicinity.	Possession date: Dec'19	1140 sq ft(3BHK+2T)	3 BHK	935 - 1,140 sq ft	₹ 24.31 L - ₹ 29.64 L	2, 3 BHK	140	RERA ID: PR/KN/170731/000612
166	Gopalan Olympia	Gopalan	Kumbalgodu	Under Construction		Possession date: Dec'18	1495 sq ft(3BHK+3T)	3 BHK	905 - 1,495 sq ft	₹ 31.68 L - ₹ 52.33 L	2, 3 BHK	322	RERA ID: PR/KN/170811/000986
167	Provident Rays of Dawn	Provident Housing	Kumbalgodu	Under Construction	Provident Ray of Dawn is a 60-acre residential community, developed by Provident Housing, located at Kumbalgodu in Bengaluru. The property which is nestled along the Mysore Road, offers 1344 units of 2 and 3 BHK apartments ranging in sizes between 883 sq ft to 1,082 sq ft. The apartments are ready for possession and are accompanied with amenities like basketball court, yoga pavilion, 24X7 security system and cafeteria. Quality social infrastructure encompassing educational institutions, hospitals and banks are present in the vicinity. Kumbalgodu, where the property is located, is well connected to railway station and the HAL international airport.	Possession date: Nov'18	1082 sq ft(3BHK+2T)	3 BHK	883 - 1,082 sq ft	₹ 40.50 L - ₹ 49.50 L	2, 3 BHK	1344	
168	Adarsh Premia	Adarsh Developers	Banashankari	Under Construction		Possession date: Dec'18	3720 sq ft(4BHK+4T   Servant Room)	4 BHK	2,050 - 3,720 sq ft	₹ 2.25 Cr - ₹ 4.05 Cr	3, 4 BHK	200	
169	Prakruthi Castle	Prakruthi Shelters Bangalore	Banashankari	Pre Launch	Located in Banashankari, Bangalore, Castle is a premium housing project launched by Prakruthi Shelters Bangalore. The project offers Apartment in 3 BHK configurations available from 1700 sqft. These units in Bangalore South, are available at an attractive price points starting at @Rs 5,294 per sqft and will be available to buyers at a starting price of Rs 90.00 lacs. The project is Pre Launch project and possession in Jul 18. Castle has many amenities, such as Vaastu Compliant, Closed Car Parking, Intercom, Rain Water Harvesting, Fireplace etc.	Possession date: Jul'18	1700 sq ft(3BHK+3T)	3 BHK	1,700 sq ft	₹ 87.30 L	3 BHK	5	
170	Ardente Wind Song	Ardente	Banashankari	On Hold	Ardente Wind Song is located in Banashankari, Bangalore. This project derives inspiration from the surrounding lush green mountains and breath-taking landscapes. It aims to offer a serene and peaceful lifestyle to its customers. This grand project prides itself with the excellent environment that it offers to the residents where urban living concepts and the natural beauty are fused together. The project comprises of wonderfully designed 2 and 3 BHK apartments that are provided with sufficient open areas both outdoors and indoors. Sufficient ventilation and lighting have been offered throughout the apartments. The entire project has been built over an area of 18.73 acres. Some of the desirable amenities on offer for customers include a lift, badminton and basketball courts, swimming pool, playing area for children and 24 hour security. Power backup is also provided seamlessly to its residents in addition to indoor games and other sports facilities. Residents can also expect excellent maintenance facilities like rainwater harvesting systems. The beautifully landscaped gardens definitely add a special dimension to this project. Banashankari is also situated close to several prominent areas of Bangalore including JP Nagar, Rajarajeshwari Nagar and Uttarahalli among others.	Possession started from: Feb'18	1808 sq ft(3BHK+3T)	3 BHK	1,350 - 1,808 sq ft	₹ 64.80 L - ₹ 86.78 L	2, 3 BHK	250	
171	Prabhavathi Innovation	Prabhavathi	Bommanahalli	On Hold	Prabhavathi Innovation is a prelaunch project in Bommanahalli, Bangalore. The community is slated to have apartments of different layouts, all available via the developer. Facilities included within the project are lifts in the structures, power backup, party hall and car parking. Prabhavathi Builders and Developers are a renowned property developer of Bangalore, although they have been a part of the industry for less than a decade. Their projects are located in Begur apart from Bommanahalli. Bommanahalli enjoys communication with the rest of the city through the Outer Ring Road, Hosur Road and Bannerghatta Road. Areas like Koramangala and JP Nagar are situated nearby.	Possession date: Oct'18	1030 sq ft(3BHK+2T)	3 BHK	600 - 1,030 sq ft	₹ 21.70 L - ₹ 33.25 L	1, 2, 3 BHK	65	
172	Opera Spring Leaf	Opera Homes	Bommanahalli	Under Construction	Opera Homes Spring Leaf has an availability of premium apartments in Bommanahalli region which is situated in Bengaluru. This project has built up premium apartments for possession. The apartments are all set for moving in. The area is very much accessible by all major parts of the region. The necessities like banks, ATMs, bus stations, play schools, restaurants, railway stations, hospitals petrol pumps etc are all available in the neighbourhood. The neighbourhood area of this project is very much surrounded by the lush greenery and the project offers facilities like a, intercom, a playground for children, a swimming pool, power back up and much more. The price of the apartments is also based on the request value.	Possession date: Dec'18	1495 sq ft(3BHK+2T)	3 BHK	780 - 1,495 sq ft	₹ 31.19 L - ₹ 59.79 L	1, 2, 3 BHK	35	RERA ID: PR/KN/170823/001474
173	TATA The Cascades	TATA Housing Development	Banashankari	Under Construction		Possession date: Dec'20	4425 sq ft(4BHK+5T   Servant Room)	4 BHK	3,580 - 4,425 sq ft	₹ 4.30 Cr - ₹ 5.31 Cr	3, 4 BHK	24	
174	Sagar Watermark	Sagar Ventures	Nagarbhavi	On Hold			1250 sq ft(2BHK+2T + Study Room)	2 BHK	1,100 - 1,250 sq ft	Price on request	2 BHK	32	
175	Subha 9 Sky Vue	Subha Builders	Anekal City	Under Construction	The Subha Builders 9 Sky Vue is offering prosperous complex with the availability of premium apartments. The project is all set for moving in purpose in Anekal City region which is situated in Bengaluru. The necessities like bank, ATM, hospital, school, restaurant, bus station, train station, petrol pump are found in the neighbourhood and the complex offers other facilities like intercom facilities, a playground which is completely safe for the children, a security service of 24 hours, the project also provides a power system which remains on for about 24 hours. The apartments are available from builder as well as from resale procedure.	Possession date: Mar'19	1225 sq ft(3BHK+3T)	3 BHK	520 - 1,225 sq ft	₹ 13.99 L - ₹ 32.95 L	1, 2, 3 BHK	115	RERA ID: PR/KN/170801/000908
176	Salarpuria Anugraha	Salarpuria Sattva Group	Nagarbhavi	Under Construction	Salarpuria Anugraha Company is developing apartments in the Nagarbhavi region of Bangalore. They have availability luxurious apartments. This project has all the required amenities like security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each apartment area, gym, swimming pool, rainwater harvesting, a playground for the sole benefit of the children and also for their entertainment, a community life which is always gated for protection purposes, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a mile like hospital, banking, ATM, petrol pump, and bus station, school etc. The entire project is set for moving in purpose.	Possession date: Jun'21	1804 sq ft(3BHK+3T)	3 BHK	492 - 1,804 sq ft	₹ 23.07 L - ₹ 84.61 L	1, 2, 3 BHK	693	
177	DS Splendid	DS Max Properties	Nagarbhavi	Under Construction	DS Max Splendid is a housing community in Nagarbhavi, Bangalore. Presently under construction. The community has several facilities on offer like swimming pool, gymnasium, jogging track, and children’s play area and intercom services. DS Max Properties is one of Bangalore’s prolific real estate developers. They have ninety six properties to their name, forty four of which are under construction. Some of them are located in Jalahalli and JP Nagar Phase 4. Nagarbhavi is located near to thoroughfares such as 80 Feet Main Road, Magadi Road and Malagalu Main Road.	Possession date: May'19	1936 sq ft(3BHK+2T)	3 BHK	600 - 1,936 sq ft	₹ 35.56 L - ₹ 54.21 L	1, 2, 3 BHK	96	RERA ID: PR/KN/170831/001707
178	Kumari Amaranthine	Kumari	Bellandur	Under Construction	The upcoming project of Kumari Builders and Developers named as Amaranthine is being set up in Bellandur region of Bengaluru. It is transforming into a residential area which is equipped with all modern amenities and facilities. The entire project is under construction and the apartments will be available from the developer only. Amenities like shopping mall, grocery stores, medicine shops, hospital, educational institutions and ATM branches are available within a kilometre of this elite project. The in campus facilities include a gymnasium, a cafeteria, an indoor games facility and a club house.	Possession date: Dec'18	1530 sq ft(3BHK+2T)	3 BHK	1,130 - 1,530 sq ft	₹ 70.15 L - ₹ 93.26 L	2, 3 BHK	99	RERA ID: PR/KN/170916/002090
179	The Address The Central Regency Address	The Address Maker	Bellandur	Under Construction	Situated in Bellandur, Bangalore, The Central Regency Address is a gated community. The project is in its prelaunch phase and the units can be availed through the developer. They are of varying configurations and sizes. The Address Maker is a renowned property developer of Bangalore. They have numerous projects to their name, some of which are under construction. Most of their projects are located towards the west of the city. Bellandur is a part of southeast Bangalore. The area is well-linked to neighbourhoods such as Whitefield and ITPL via the Outer Ring Road. The KR Puram Railway Station is the nearest to the neighbourhood.	Possession date: Aug'20	2200 sq ft(3BHK+3T)	3 BHK	1,452 - 2,200 sq ft	₹ 86.97 L - ₹ 1.32 Cr	2, 3 BHK	100	RERA ID: PR/KN/170731/000123
180	Nitesh Palo Alto	Nitesh Estates	Bellandur	On Hold	It is only fitting that the High Tech Capital of India, Bangalore offers the highest standards of Quality and Global Lifestyle Living. Nitesh Palo Alto, situated on the IT Corridor of Marathahalli Sarjapur Ring Road is an environment of scenic beauty. These Premium villaments with exquisite space planning, well thought through interiors and large expanse of landscaped gardens coupled with close proximity to Shopping Centers, Schools and Health Care facilities make it one of the most sought after places to live in Bangalore. At Nitesh Palo Alto, Wi-fi connectivity and a high technology automation System await you to bring in the true Silicon Valley life. Swim and Relax in the secluded garden like setting designed by one of the worldâ€™s best landscape designers.	Possession date: Apr'18	3850 sq ft(4BHK+4T + Study Room)	4 BHK	2,750 - 3,850 sq ft	₹ 1.79 Cr - ₹ 2.50 Cr	3, 4 BHK	251	
181	Sterling Ascentia	Sterling	Bellandur	Under Construction	Sterling Developers brings to you yet another grand project, Ascentia, in Bellandur, Bangalore. Sprawling across 6 acres of land area. The apartments offer amenities like tennis court, pool deck, rainwater harvesting facility, library, jogging track, swimming pool, club house, gymnasium and many more. Bellandur enjoys smooth and fast connectivity to all prime areas of the city. The locality hosts the presence of various educational institutions and hospitals. Located in close proximity to everyday services like office complexes, supermarkets, restaurants, bus stations, petrol pumps, banks, train stations, shopping malls and ATMs.	Possession date: Jun'19	2015 sq ft(3BHK+3T + Servant Room)	3 BHK	1,591 - 2,015 sq ft	₹ 98.64 L - ₹ 1.25 Cr	3 BHK	168	RERA ID: PR/KN/170731/000563
182	Vajram Esteva	Vajram	Bellandur	Under Construction	Vajram Esteva, located in Bellandur, Bangalore, offers apartments. It provides amenities such as swimming pool, club house, landscaped gardens and car parking.This suburb of Bangalore has, in recent years, emerged to be a self-sufficient township owing to the IT/ITES boom and close proximity to key places such as HAL Airport, Whitefield, Electronic City and Sarjapur. The network of roads and public transportation is quite well-developed. Located approximately at a distance of 20 kilometres from Bangalore city, Bellandur has BMTC buses operating within it. Vajram Group, with its experience of 6 years, has 8 projects in total.	Possession date: Nov'19	3232 sq ft(4BHK+4T   Servant Room)	4 BHK	2,095 - 3,232 sq ft	₹ 1.20 Cr - ₹ 1.86 Cr	3, 4 BHK	106	RERA ID: PR/KN/170729/000254
183	Adarsh Palm Retreat Lake Front	Adarsh Developers	Bellandur	Under Construction	Located in Bellandur, Bangalore, Palm Retreat Lake Front is a premium housing project launched by Adarsh. The project offers Apartment in 2, 3, 4 BHK configurations available from 1341 sqft to 2917 sqft. These units in Outer Ring Road, are available at an attractive price points starting at @Rs 6,200 per sqft and will be available to buyers at a starting price of Rs 83.14 lacs. The project is Under Construction project and possession in Dec 18. Palm Retreat Lake Front has many amenities, such as Power Backup, CCTV Surveillance, Skating Rink, Fire Fighting Arrangements, Badminton Courts etc.	Possession date: Dec'18	2917 sq ft(4BHK+4T   Servant Room)	4 BHK	1,341 - 2,917 sq ft	₹ 83.14 L - ₹ 1.81 Cr	2, 3, 4 BHK	540	
184	DNR Reflection	DNR Group	Bellandur	Under Construction	Bellandur region of Bangalore is one of the popular areas because of the real estate projects. One of them is the DNR Group Reflection Residency project which offers apartments. The area of each apartment is spacious and well-designed. The region where this apartment is available is well surrounded by restaurant, bus station, atm, bank, train station, park, school, petrol pump, hospital, etc. The different amenities offered by this project are a gym, a club house, a multipurpose room, and play ground for children, 24 hours security, a power back up system and much more. The cost of the apartments can be availed on request.	Possession date: Dec'18	3250 sq ft(4BHK+5T + Servant Room)	4 BHK	1,910 - 3,250 sq ft	₹ 1.26 Cr - ₹ 2.15 Cr	3, 4 BHK	179	RERA ID: PR/KN/170729/000279
185	Rohan Iksha	Rohan Builders and Developers	Bellandur	Under Construction	Iksha project have been registered on Rera with following rera id's-PR/KN/170731/000887(ROHAN IKSHA BLOCK A), PR/KN/171107/002237(ROHAN IKSHA BLOCK B). Rohan Builders Pune Group presents its prestigious residential project Iksha. Located at Bellandur inBangalore, it offers well-designed 1, 2, 3 and 4 BHK apartments for sale. The project is currently in an under-construction stage with the apartments available in the size ranging from 293 sq ft to 2,171 sq ft. Spreading in an area of 8.5 acres, it is available only via resale mode. The possession is likely to be in March 2018. Key amenities offered include a power backup provision, a kids play area, a 24*7 security system, a car parking area and an elevator. Bellandur is well-connected to other parts of Bangalore via a network of roads, railway and public transport. With many educational institutions, recreational centres, shopping malls and hospitals in the vicinity, this area is sought after for residential properties.	Possession date: Jun'21	2257 sq ft(4BHK+4T)	4 BHK	145 - 2,257 sq ft	₹ 15.68 L - ₹ 1.21 Cr	1, 2, 3, 4 BHK	479	
186	Provident The Tree	Provident Housing	Nagarbhavi	Under Construction	Provident the Tree Group of Construction has developed a new residential project in Nagarbhavi region of Bangalore. The project is a new launch and is offering great and spacious apartments. The facilities like childrens play ground, an intercom system, 24 hours security system, ample space for car parking, gym, swimming pool, a multipurpose room for all kinds of activities, rain water harvesting system, a beautiful landscaped garden along with generator power back up. All necessities like school, hospital, park, restaurant, bank, atm, a play school, petrol pump, park, train station, bus station etc are all present in the neighbourhood.	Possession date: Mar'19	1380 sq ft(3BHK+3T)	3 BHK	605 - 1,380 sq ft	₹ 28.13 L - ₹ 64.17 L	1, 2, 3 BHK	388	
187	Prabhavathi Exotica	Prabhavathi	Bommanahalli	On Hold	Prabhavathi Exotica is one of the upcoming properties in Bommanahalli, Bangalore. The community has various configurations on offer such as 1, 2 and 3BHK. Home owners have different facilities to make use of such as party hall, multipurpose hall, car parking and gymnasium. Prabhavati Builders has worked on forty eight projects since its establishment in 2007. Twenty of their projects are under construction currently. Some of them are in BTM Layout and Begur, apart from Bommanahalli. Bommanahalli is located along the National Highway 7 and is near the Electronics City.	Possession started from: Dec'17	1150 sq ft(3BHK+2T)	3 BHK	620 - 1,150 sq ft	₹ 22.63 L - ₹ 41.98 L	1, 2, 3 BHK	50	
188	Prabhavathi Heaven	Prabhavathi	Bommanahalli	On Hold		Possession started from: Feb'15	1518 sq ft(3BHK+3T)	3 BHK	619 - 1,518 sq ft	₹ 27.73 L - ₹ 55.94 L	1, 2, 3 BHK	135	
189	Anubhava Ishwerya Classic	Anubhava	Banaswadi	Under Construction	Located in Banaswadi, Bangalore, Classic by Anubhava Ishwerya developers offers 2 and 3 BHK apartments, with the price being on request. The amenities include an intercom facility, a 24x7 security services, a power backup facility, a landscaped garden, a car parking area and elevators. Situated in the north-east of Bengaluru, Banaswadi is a residential locality which lies at a distance of within 8 kilometres from Manyata Tech Park, the biggest IT park in the city. The Bengaluru airport is at a distance of 10 kilometres while the city Railway Station lies 5 kilometres away. The major educational institutions of the area include New Baldwin Residential School, BET College, Bengaluru College and Vivekananda College. Dewans Hospital, La Medicare, and a few others are some of the reputed hospitals in the vicinity.	Possession date: Jan'19	1360 sq ft(3BHK+3T)	3 BHK	1,360 - 1,875 sq ft	₹ 67.32 L - ₹ 92.81 L	2, 3 BHK	8	
190	Breeze Swarna	Breeze Infra	Banaswadi	Launch	Banaswadi area of Bengaluru has given land for the many real estate projects which are already in the process of development. The Breeze Infra Swarna is delivering spacious and premium apartments. The apartments are all set for moving in. All the necessary requirements like banks, ATMs, petrol pumps, hospitals, grocery shop, bus stations, schools, restaurants, train stations, etc. are all present in the neighbourhood of the project. The project offers other amenities like intercom facility, 24x7 security services, 24x7 power backup, gardens, a staff to look after the maintenance, a gym, rainwater harvesting system, power backup facilities and much more.	Possession started from: Dec'17	950 sq ft(2BHK+2T + Pooja Room)	2 BHK	950 sq ft	₹ 57.00 L	2 BHK	16	
191	Reddy Ceyone	Sree Reddy Properties	Banaswadi	Under Construction	Sree Reddy Properties has launched its premium housing project, Ceyone, in Banaswadi, Bangalore. The project offers 3 BHK Apartment from 1226 sqft to 1451 sqft in Outer Ring Road. Among the many luxurious amenities that the project hosts are Lift Available, Solar Water Heater, Overhead Water Tank, Carwash Facility, Car Parking etc. Starting at @Rs 5,500 per sqft,Apartment are available for sale from Rs 67.43 lacs to Rs 79.81 lacs. Sree Reddy Properties Ceyone is Launch project and possession in Jul 18.	Possession date: Nov'18	1451 sq ft(3BHK+3T)	3 BHK	1,226 - 1,451 sq ft	₹ 67.43 L - ₹ 79.81 L	3 BHK	30	
192	Evantha Unnathi	Evantha Developers	Basavanagudi	On Hold		Possession started from: Nov'17	1650 sq ft(3BHK+3T + Pooja Room)	3 BHK	1,650 sq ft	₹ 1.90 Cr	3 BHK	4	
193	Concorde Crescent Bay	Concorde	Basavanagudi	On Hold	Concorde Group Crescent Bay Company is developing apartments in the Basavanagudi region of Bengaluru. They offer well-built premium apartments. This project has all the required amenities like 24x7 security surveillance, beautiful landscaped gardens, individual parking area for each apartment, a gymnasium, a swimming pool, rainwater harvesting system, a playground, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a short distance like hospitals, banks, ATMs, petrol pumps, bus stations, schools, etc. The apartments of this project are ready to move in.	Possession date: Mar'20	4100 sq ft(5BHK+5T + Servant Room)	5 BHK	2,232 - 4,100 sq ft	₹ 2.79 Cr - ₹ 5.13 Cr	3, 4, 5 BHK	40	
194	DS Sarovar	DS Max Properties	Attibele	Under Construction	Bangalore is a very fast growing city in terms of real estate matters. DS Max Sarovar group has developed a project in the Attibele region which delivers luxurious and great apartments. The entire project is all set for moving in purpose. The required necessities like park, petrol pump, school, ATM, bank, hospital etc. in the neighbourhood. The amenities provided by this project is a playground for the kids, security for 24 hours and a beautiful landscaped garden, swimming pool, creche day centre, aerobics area, library, snooker facilities, meditation plaza, cards room, badminton court, wall climbing, gym, power back up system, and much more. The cost of the apartments is based on the request value.	Possession date: Nov'18	2042 sq ft(3BHK+3T)	3 BHK	536 - 2,042 sq ft	₹ 13.40 L - ₹ 51.05 L	1, 2, 3 BHK	392	
195	Nambiar Nambiar Urban Spaces	Nambiar Builders	Attibele	On Hold		Possession date: Jul'18	1650 sq ft(3BHK+3T)	3 BHK	1,056 - 1,650 sq ft	₹ 38.97 L - ₹ 60.88 L	2, 3 BHK	150	
196	Vmaks Laurel	Vmaks	Attibele	Under Construction	Vmaks Laurel Bangalore offers 2 and 3 BHK apartments. The project consists with several amenities for residents including a well equipped gymnasium, intercom facilities, playing zone for children, landscaped gardens, club house, jogging track, rainwater harvesting system and power backup facilities. Located at Attibele, the project is well connected to several areas through the National Highway 7. The area is also home to several leading companies including TVS Motors, Infosys Technologies Limited and Hewlett Packard among others. There are several reputed educational institutions present in the area.	Possession date: Sep'18	1656 sq ft(3BHK+3T)	3 BHK	1,155 - 1,656 sq ft	₹ 31.18 L - ₹ 44.71 L	2, 3 BHK	208	RERA ID: PR/KN/170731/000889
197	Assetz Here and Now	Assetz Property Group	Thanisandra	Under Construction	Here and Now presented by Assetz Property Group is located at Thanisandra in Bangalore. It offers well-designed 1 and 2 BHK apartments for sale. This housing project is currently in an under-construction stage with the size of the apartments ranging from 385 sq ft to 995 sq ft. The mode of availability is only through the developer. Spreading in an area of 3 acres, the possession is likely to be in December 2020. Thanisandra is well-connected via roads, railways and public transport. The areas social infrastructure is well-developed and it has premium educational institutions, popular hospitals, bank and ATM branches in the neighbourhood.	Possession date: Dec'20	995 sq ft(2BHK+2T)	2 BHK	385 - 995 sq ft	₹ 19.63 L - ₹ 50.74 L	1, 2 BHK	192	RERA ID: PR/KN/170731/000797
198	Dhammanagi Jasmin	Dhammanagi	Kengeri	Pre Launch	Kengeri region of Bengaluru is one of the popular areas in the real estate sector. Dhammanagi Jasmin Company is developing a residential estate which will deliver spacious apartments. The entire project is still in under construction phase. The different amenities provided by these project area are children play ground area for everybody for playing the sport, intercom services, a club house, a gym, closed circuit security, power backup generator, a beautiful garden, a rain water harvesting system and many other recreational facilities. The price of the apartments is based on the request value.	Possession date: Dec'20	1500 sq ft(3BHK+3T)	3 BHK	991 - 1,500 sq ft	₹ 54.51 L - ₹ 82.50 L	2, 3 BHK	219	
199	Pioneer KRS Park Royal	Pioneer Developers	Kengeri	Pre Launch	KRS Park Royal by Pioneer Developers, offers apartments in Rajarajeshwari Nagar, Bangalore. It boasts of amenities such as gymnasium, swimming pool, childrenâ€™s play area, multipurpose room, 24x7 security, jogging track, power backup, indoor games, car parking, banquet hall, library, amphitheatre, lift, etc.Rajarajeshwari Nagar, which is located in the southern part of Bangalore along the Mysore Road, derives its name from the famous Rajarajeshwari Nagar temple it is just 4 kilometres away from Bangalore. The Bangalore International airport is about 45 kilometres away (1 hour drive) while the city railway junction is within a distance of around 8 kilometres. This area is connected to the major cities- Bangalore and Mysore- through the Mysore Infrastructure Corridor (BMIC), also called Nice Road. The average apartment price in this area is Rs. 3659 per sq ft.	Possession date: Aug'20	1590 sq ft(3BHK+3T)	3 BHK	1,163 - 1,590 sq ft	₹ 43.61 L - ₹ 59.63 L	2, 3 BHK	240	
200	Salarpuria Cadenza	Salarpuria Sattva Group	Kudlu	Under Construction	Salarpuria Cadenza is a residential community being developed in Kudlu, Bangalore. The community offers spacious 1, 2 and 3BHK flats. Covering an expanse of 5.8 acres, the community shall comprise of the dwelling units and amenities for the benefit of home owners. Some of the amenities offered within the community include intercom services in every home, community hall; kids’ play area, swimming pool, and gymnasium and club house.The SalarpuriaSattva Group is one of Bangalore’s well known property developers, having worked on twenty nine projects in twenty nine years. Twelve of their properties are underway currently. Some of their projects are located in JeevanBima Nagar and Vijay Nagar. They are known for their attention to customer needs and incorporation of modern architectural trends in their construcitons. A township located towards southeast Bangalore, Kudlu is bounded by the Kudlu Main Road on the west and Haralur Road towards the East. The Bangalore City Railway Station is 17.2 kilometres from here while the Kempegowda International Airport is 48.3 kilometres from here.	Possession date: Dec'18	1850 sq ft(3BHK+3T)	3 BHK	703 - 1,850 sq ft	₹ 41.13 L - ₹ 1.08 Cr	1, 2, 3 BHK	513	RERA ID: PR/KN/170731/000501
201	Keystone Sai Prithvi Elite	Keystone Properties	Kengeri	Under Construction	Keystone Properties Sai Prithvi Elite Company is developing apartments in the Kengeri region of Bengaluru. They have availability luxurious Apartments. This project has all the required amenities like security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each plot area, rain water harvesting system, a a playground for the sole benefit of the children and also for their entertainment, which is always gated for protection purposes, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a mile like hospitals, banking, ATMâ€™s, petrol pumps, and bus stations, schools etc. The entire project is set for moving in purpose.	Possession date: Dec'18	1375 sq ft(3BHK+3T)	3 BHK	660 - 1,375 sq ft	₹ 18.15 L - ₹ 37.81 L	1, 2, 3 BHK	84	
202	Peace Rhythm	A Peace Projects	Kengeri	Under Construction		Possession date: Dec'18	1694 sq ft(3BHK+3T + Pooja Room)	3 BHK	1,029 - 1,694 sq ft	₹ 46.30 L - ₹ 76.23 L	2, 3 BHK	60	RERA ID: PR/KN/170802/000992
203	Siri Heritage	Sai Siri Promoters	Kengeri	Under Construction	The Sai Siri Promoters Heritage is offering prestigious complex with the availability of premium apartments. The project is all set for possession and is located at Kengeri region which is situated in Bengaluru. The necessary infrastructure like bank & ATM branches, hospital, educational institutions, restaurant, bus stops, railway station and petrol pump are found in the neighbourhood. The complex offers other facilities like an intercom facility, a playground for children and a 24-hour security system. The apartments are available from developer as well as from resale procedure.	Possession date: Oct'18	1565 sq ft(3BHK+2T)	3 BHK	1,015 - 1,565 sq ft	₹ 37.55 L - ₹ 57.91 L	2, 3 BHK	120	
204	Prestige Leela Residences	Prestige Group	Kodihalli on Old Airport Road	Under Construction	Leela Residences, located amidst landscaped gardens and eco-friendly environment, is one of the most awaited projects from Prestige Group. Equipped with luxurious amenities such as swimming pool, children's play area, club house, multipurpose room, intercom facility, 24x7 security, power backup, landscaped gardens, gymnasium, lifts, billiards, mini theatre, indoor/outdoor party area, super market space, unisex parlour space and many more. The apartment is furnished with vitrified tiles, teak wood frames for doors and well-designed bedrooms.. Prominently located in Kodihalli, Bangalore, Leela Residences offers easy connectivity to major landmarks of the city and is surrounded by other developed places like Frazer Town, Chikballapur, Vasanth Nagar and Jakkur. The presence of many reputed schools and education institutes in the area makes it an option worth investing in.	Possession date: Feb'19	6879 sq ft(4BHK+5T + Servant Room)	4 BHK	2,920 - 6,879 sq ft	₹ 6.20 Cr - ₹ 14.61 Cr	3, 4 BHK	88	RERA ID: PR/KN/170727/000077
205	Prabhavathi Crystal	Prabhavathi	Kodihalli on Old Airport Road	On Hold	Prabhavathi Crystal is a housing project in Kodihalli, Bangalore. The community has 2BHK flats on offer for Rs 51.1 to 60.8 lakh. The community is under construction and spreads over 0.28 acres. The units are available through the developer and on resale. There are a total of 40 apartments on sale that measure between 851 and 1013 sq ft. Prabhavathi Builders and Developers was founded in 2007 and has worked on fifty projects already. They have twenty two properties under construction. Some of these projects are located in Bommanahalli and BTM Layout. Kodihalli is located close to the Old Airport Road and is a rapidly developing neighbourhood.	Possession date: Dec'18	1050 sq ft(2BHK+2T)	2 BHK	851 - 1,050 sq ft	₹ 52.76 L - ₹ 57.16 L	2 BHK	33	
206	Mantri Lithos	Mantri Group	Thanisandra	Under Construction	Lithos by Mantri Group, located in Thanisandra, Bangalore, offers 2 and 3 BHK apartments. It provides amenities such as gymnasium, swimming pool, childrens play area, club house, rainwater harvesting, intercom, 24x7 security, jogging track, landscaped gardens, indoor games, squash court, basketball post, chess, carom, concierge, library, walking trail, pool table, indoor badminton court, well equipped health club, billiards, sauna and massage. Situtated in the state of Karnatake, Thanisandra is an upcoming locality of North Bangalore. They key builders include Supertech, Mantri, Unishire and ATZ properties.	Possession date: Dec'18	3350 sq ft(3BHK+3T + Study Room)	3 BHK	1,355 - 3,350 sq ft	₹ 94.71 L - ₹ 2.61 Cr	2, 3 BHK	528	RERA ID: PR/KN/170731/000444
207	VSG Lake Forest	VSG Developers	Kudlu	On Hold		Possession started from: Aug'15	1500 sq ft(3BHK+3T)	3 BHK	974 - 1,500 sq ft	₹ 37.01 L - ₹ 55.18 L	2, 3 BHK	44	
208	ATZ Ultima	ATZ Properties	Thanisandra	Under Construction	Launched by ATZ Properties, Ultima, is a premium housing project located at Thanisandra in Bangalore. Offering 2, 3 BHK Apartment in Bangalore North are available from 1030 sqft to 2100 sqft. This project hosts amenities like Children's play area, Maintenance Staff, Car Parking, Power Backup, Intercom etc. Available at attractive price points starting at @Rs 4,000 per sqft, the Apartment are available for sale from Rs 41.20 lacs to Rs 84.00 lacs. The project is Under Construction project and possession in Dec 18.	Possession date: Dec'18	2100 sq ft(3BHK+3T)	3 BHK	1,030 - 2,100 sq ft	₹ 51.50 L - ₹ 1.05 Cr	2, 3 BHK	162	
